phone title,price,old price
"Infinix NOTE 7 LITE, 6.6"", 64GB+4GB, 5000mAMh, 4G, 48MP, GREY + COVER, 5D PROTECTOR","KSh 15,799","KSh 21,555"
"Blackberry Z10 4.2"" (two batteries) 8MP 2GB RAM 16GB Smartphone - Black","KSh 5,699","KSh 10,586"
Blackberry 9700 WCDMA 3G 3.2MP 256MB RAM GPS WIFI Bluetooth GPS Cell Phone,"KSh 5,690","KSh 5,990"
Blackberry 9810 Keyboard 3.2 Inch Touch Screen Slider Phone - Black,"KSh 6,999","KSh 9,999"
Blackberry Q20 3.5 inche 8MP 2GB RAM 16GB ROM 4G LTE Smartphone - Black,"KSh 12,990","KSh 22,899"
"Blackberry Z10 4.2"" Inch 8MP 2GB RAM 16GB ROM Smartphone - Black","KSh 5,699","KSh 5,999"
Blackberry Z10 16GB + 2GB	(Dual Core) - Black,"KSh 5,600","KSh 8,400"
Blackberry Curve 9320 Mobile Phone QWERTY Keyboard WIFI 3.2MP -Black,"KSh 5,699","KSh 5,999"
Blackberry Torch 9800 Phone 5MP Keyboard 4GB Internal Storage -White,"KSh 6,799","KSh 9,999"
Blackberry Q20 Dual Core 8MP 2GB RAM 16GB ROM Smartphone - Black,"KSh 12,900 - KSh 13,900","KSh 21,484 - KSh 22,267"
"Blackberry Z10 4.2"" 2GB+16GB Dual Core 8MP NFC GPS WIFI 3G 4G BlackBerry Smartphone - Black","KSh 5,800","KSh 8,390"
"Blackberry Z30 Mobile Phone 5"" inch 16GB ROM 2 RAM 3G/4G LTE cell phone","KSh 8,699","KSh 9,999"
Blackberry Priv 5.4inch Cellphone 3GB RAM 32GB ROM 4G lte Mobile phone,"KSh 24,999","KSh 53,099"
Blackberry 9900 WCDMA 3G QWERTY Keyboard 8GB ROM 5MP Smartphone - Black,"KSh 7,699","KSh 8,699"
"Blackberry Keyone 4.5"" Bar Cellphone 3/32GB 8.0MP 4G Smartphone(Silver)","KSh 27,300","KSh 44,134"
"Blackberry Z10 4.2"" (two batteries) 8MP 2GB RAM 16GB Smartphone - White","KSh 5,699","KSh 9,899"
Blackberry Z30 5.0'' inch 2GB+16GB WIFI Touchscreen Smartphone - Black,"KSh 8,599","KSh 16,018"
"Blackberry Z10 4.2"" (two batteries) 8MP 2GB RAM 16GB Smartphone - Black","KSh 5,699","KSh 9,899"
Blackberry Keyone 4.5 Inch 3GB RAM 32GB ROM 12MP Camera LTE 4G Cellphone,"KSh 25,990","KSh 35,990"
"Blackberry Passport Q30 4.5"" 3GB+32GB Quad Core LTE 13.0MP BlackBerry OS Smartphone - Black","KSh 22,500","KSh 35,150"
Blackberry Bold 9900 GSM Factory Phone -  Black,"KSh 7,106","KSh 14,212"
Blackberry Priv 5.4'' Cellphone 3GB RAM 32GB ROM Mobile Phone - Black,"KSh 24,999","KSh 33,999"
Blackberry Bold Touch 9930 3G Wifi GPS Phone Camera 768MB ROM 8GB RAM,"KSh 7,699","KSh 14,341"
Blackberry Passport Q30   LTE 3GB RAM 32GB ROM 13.0MP Cell Phone,"KSh 21,000","KSh 31,090"
"Blackberry Z10 (two batteries) Phone 4.2"" 2G RAM 16G Mobile Phone White","KSh 5,699","KSh 9,299"
Blackberry Classic Q20 3.5 Inches cell Phone 2GB RAM 16GB ROM 4G LTE,"KSh 12,990","KSh 13,899"
"Blackberry Z30 Mobile Phone 5"" Inch 16GB ROM 2 RAM 3G/4G LTE Cell Phone","KSh 8,800","KSh 12,800"
"Blackberry Keyone 4.5"" Bar Cellphone 3GB 32GB 8.0MP 4G Wifi Octa Core Mobile Cell Phone(Silver)","KSh 27,300","KSh 44,134"
Blackberry 9900 Blod Touch Mobile Phone 3G Cell Phones QWERTY -- White,"KSh 7,999","KSh 16,099"
"Blackberry Priv 5.4"", 3GB RAM, 32GB,4G Lte Mobile Phone","KSh 25,999","KSh 26,999"
"Blackberry Z30 Mobile Phone 5"" Inch 16GB ROM 2 RAM 3G/4G LTE Cell Phone","KSh 11,999","KSh 16,999"
"Blackberry 9860 WiFi 5.0MP 3.7"" Touch Screen 3G Mobile Phone Cellphone","KSh 4,600","KSh 7,034"
